educ age income Party fAge
HS 36 (0,15] Republican (35,45]
Coll 20 (0,15] Democrat (0,25]
BAdeg 24 (0,15] Democrat (0,25]
BAdeg 28 (0,15] Democrat (25,35]
BAdeg 68 (0,15] Democrat (65,75]
Coll 21 (0,15] Democrat (0,25]
Coll 77 (0,15] Democrat (75,100]
Coll 21 (0,15] Independent (0,25]
Coll 31 (0,15] Independent (25,35]
HS 39 (0,15] Democrat (35,45]
HSdrop 26 (0,15] Independent (25,35]
Coll 31 (0,15] Democrat (25,35]
Coll 22 (0,15] Republican (0,25]
CCdeg 42 (0,15] Democrat (35,45]
MS 74 (0,15] Democrat (65,75]
HS 62 (0,15] Democrat (55,65]
HS 58 (0,15] Democrat (55,65]
BAdeg 24 (0,15] Democrat (0,25]
Coll 51 (0,15] Republican (45,55]
HS 36 (0,15] Democrat (35,45]
HSdrop 88 (0,15] Independent (75,100]
Coll 20 (0,15] Independent (0,25]
HS 27 (0,15] Independent (25,35]
Coll 44 (0,15] Republican (35,45]
HS 45 (0,15] Democrat (35,45]
Coll 21 (0,15] Democrat (0,25]
CCdeg 40 (0,15] Democrat (35,45]
BAdeg 40 (0,15] Democrat (35,45]
HS 48 (0,15] Democrat (45,55]
HS 34 (0,15] Democrat (25,35]
HSdrop 26 (0,15] Independent (25,35]
HSdrop 60 (0,15] Democrat (55,65]
HS 32 (0,15] Democrat (25,35]
HS 31 (0,15] Democrat (25,35]
HS 33 (0,15] Independent (25,35]
HS 57 (0,15] Democrat (55,65]
HS 84 (0,15] Democrat (75,100]
HS 75 (0,15] Republican (65,75]
Coll 19 (0,15] Republican (0,25]
BAdeg 47 (0,15] Democrat (45,55]
HSdrop 51 (0,15] Democrat (45,55]
HS 40 (0,15] Republican (35,45]
BAdeg 22 (0,15] Democrat (0,25]
HSdrop 35 (0,15] Republican (25,35]
CCdeg 43 (0,15] Independent (35,45]
BAdeg 76 (0,15] Independent (75,100]
HS 45 (0,15] Republican (35,45]
HSdrop 88 (0,15] Democrat (75,100]
HS 46 (0,15] Democrat (45,55]
BAdeg 22 (0,15] Independent (0,25]
HS 68 (0,15] Republican (65,75]
HS 38 (0,15] Republican (35,45]
HSdrop 69 (0,15] Independent (65,75]
HS 67 (0,15] Democrat (65,75]
Coll 88 (0,15] Democrat (75,100]
HS 68 (0,15] Republican (65,75]
HS 76 (0,15] Independent (75,100]
HSdrop 72 (0,15] Democrat (65,75]
BAdeg 37 (0,15] Republican (35,45]
HS 69 (0,15] Democrat (65,75]
BAdeg 33 (0,15] Democrat (25,35]
Coll 34 (0,15] Democrat (25,35]
HS 30 (0,15] Independent (25,35]
HS 19 (0,15] Democrat (0,25]
HS 44 (0,15] Democrat (35,45]
HS 64 (0,15] Democrat (55,65]
Coll 37 (0,15] Democrat (35,45]
CCdeg 31 (0,15] Independent (25,35]
Coll 88 (0,15] Independent (75,100]
Coll 77 (0,15] Republican (75,100]
BAdeg 30 (0,15] Republican (25,35]
Coll 32 (0,15] Democrat (25,35]
MS 59 (0,15] Republican (55,65]
Coll 47 (0,15] Independent (45,55]
HS 22 (0,15] Democrat (0,25]
HS 55 (0,15] Independent (45,55]
HSdrop 24 (0,15] Democrat (0,25]
MS 65 (0,15] Democrat (55,65]
HS 24 (0,15] Independent (0,25]
HS 30 (0,15] Independent (25,35]
HS 73 (0,15] Independent (65,75]
CCdeg 73 (0,15] Democrat (65,75]
MS 91 (0,15] Independent (75,100]
HSdrop 71 (0,15] Democrat (65,75]
Coll 34 (0,15] Independent (25,35]
HSdrop 48 (0,15] Democrat (45,55]
Coll 42 (0,15] Republican (35,45]
HSdrop 72 (0,15] Democrat (65,75]
Coll 20 (0,15] Republican (0,25]
Coll 22 (0,15] Democrat (0,25]
BAdeg 24 (0,15] Democrat (0,25]
BAdeg 39 (0,15] Independent (35,45]
CCdeg 83 (0,15] Republican (75,100]
HS 39 (0,15] Republican (35,45]
CCdeg 33 (0,15] Democrat (25,35]
HS 53 (0,15] Democrat (45,55]
HS 82 (0,15] Republican (75,100]
HS 82 (0,15] Republican (75,100]
BAdeg 47 (0,15] Republican (45,55]
HS 68 (0,15] Independent (65,75]
BAdeg 84 (0,15] Democrat (75,100]
CCdeg 35 (0,15] Republican (25,35]
HSdrop 67 (0,15] Democrat (65,75]
HSdrop 33 (0,15] Independent (25,35]
MAdeg 49 (0,15] Democrat (45,55]
MS 91 (0,15] Democrat (75,100]
HS 43 (0,15] Democrat (35,45]
Coll 65 (0,15] Republican (55,65]
HS 69 (0,15] Democrat (65,75]
Coll 56 (0,15] Democrat (55,65]
BAdeg 24 (0,15] Democrat (0,25]
HS 77 (0,15] Democrat (75,100]
HS 74 (0,15] Democrat (65,75]
BAdeg 25 (0,15] Republican (0,25]
MS 85 (0,15] Independent (75,100]
HSdrop 21 (0,15] Independent (0,25]
Coll 24 (0,15] Democrat (0,25]
Coll 73 (0,15] Independent (65,75]
HS 37 (0,15] Independent (35,45]
Coll 35 (0,15] Independent (25,35]
HS 47 (0,15] Democrat (45,55]
HS 21 (0,15] Republican (0,25]
CCdeg 55 (0,15] Democrat (45,55]
BAdeg 30 (0,15] Republican (25,35]
MAdeg 76 (0,15] Independent (75,100]
Coll 36 (0,15] Independent (35,45]
HS 38 (0,15] Democrat (35,45]
HS 67 (0,15] Democrat (65,75]
HSdrop 70 (0,15] Republican (65,75]
Coll 78 (0,15] Independent (75,100]
BAdeg 27 (0,15] Independent (25,35]
Coll 51 (0,15] Democrat (45,55]
Coll 33 (0,15] Republican (25,35]
BAdeg 80 (0,15] Republican (75,100]
MS 79 (0,15] Democrat (75,100]
MS 66 (0,15] Independent (65,75]
HS 32 (0,15] Democrat (25,35]
HSdrop 70 (0,15] Democrat (65,75]
HS 42 (0,15] Independent (35,45]
Coll 73 (0,15] Republican (65,75]
HSdrop 87 (0,15] Democrat (75,100]
CCdeg 30 (0,15] Democrat (25,35]
HS 52 (0,15] Independent (45,55]
Coll 62 (0,15] Democrat (55,65]
HS 67 (0,15] Democrat (65,75]
BAdeg 37 (0,15] Independent (35,45]
Coll 37 (0,15] Democrat (35,45]
BAdeg 64 (0,15] Democrat (55,65]
HS 34 (0,15] Democrat (25,35]
HS 70 (0,15] Democrat (65,75]
CCdeg 31 (0,15] Republican (25,35]
BAdeg 29 (15,30] Democrat (25,35]
HSdrop 71 (15,30] Democrat (65,75]
MS 67 (15,30] Democrat (65,75]
MAdeg 41 (15,30] Democrat (35,45]
BAdeg 49 (15,30] Democrat (45,55]
CCdeg 42 (15,30] Democrat (35,45]
HSdrop 78 (15,30] Democrat (75,100]
HS 24 (15,30] Democrat (0,25]
HS 29 (15,30] Democrat (25,35]
CCdeg 39 (15,30] Republican (35,45]
Coll 19 (15,30] Democrat (0,25]
CCdeg 32 (15,30] Democrat (25,35]
HS 69 (15,30] Republican (65,75]
