"Creditability","Duration","Credit.Amount","Account.Balance","Savings","NCredits","Gender","Occupation","Marital.Status"
1,8,760,"2","1",1,"f","unemployed","Divorced"
1,9,1919,"2","1",1,"m","employed","Married"
0,18,2039,"1","1",1,"f","employed","Divorced"
1,24,1258,"3","3",1,"f","unemployed","Divorced"
1,24,2483,"1","3",1,"m","employed","Married"
1,20,6148,"2","2",2,"m","employed","Single"
1,26,7966,"2","1",2,"m","employed","Married"
1,36,3342,"4","1",1,"m","employed","Married"
0,9,1437,"2","2",1,"m","employed","Married"
1,15,960,"4","4",2,"f","employed","Divorced"
0,15,2631,"2","2",2,"f","employed","Divorced"
1,28,7824,"4","1",2,"m","employed","Married"
1,15,2326,"2","3",1,"m","employed","Married"
0,12,951,"2","2",4,"f","employed","Divorced"
1,10,1275,"3","1",1,"f","employed","Divorced"
1,36,2273,"2","1",2,"m","employed","Married"
1,24,1516,"4","4",2,"f","unemployed","Divorced"
1,18,1301,"2","1",1,"m","unemployed","Single"
1,18,1936,"1","1",2,"m","unemployed","Single"
0,30,2150,"2","1",1,"f","employed","Divorced"
1,39,8588,"4","2",1,"m","self-employed","Married"
0,18,4297,"2","1",1,"m","self-employed","Divorced"
1,36,3620,"1","1",1,"m","employed","Married"
1,24,2825,"2","1",2,"m","employed","Married"
1,15,1537,"2","1",2,"m","employed","Married"
1,30,2181,"2","1",2,"m","employed","Married"
1,10,3949,"3","1",1,"m","unemployed","Married"
1,15,806,"1","1",1,"f","unemployed","Divorced"
0,24,11938,"2","1",2,"m","self-employed","Married"
1,24,2892,"3","1",1,"m","employed","Divorced"
1,6,672,"4","1",1,"f","unemployed","Divorced"
1,24,2828,"1","3",1,"m","employed","Married"
0,9,1366,"1","1",1,"f","employed","Divorced"
1,15,2360,"3","3",1,"m","employed","Married"
1,12,1262,"1","1",1,"m","unemployed","Divorced"
1,18,2404,"4","1",2,"f","employed","Divorced"
1,24,7393,"4","1",1,"m","unemployed","Married"
0,18,1042,"2","1",1,"f","employed","Divorced"
1,42,4796,"3","1",1,"m","employed","Married"
1,12,6078,"2","1",1,"m","employed","Married"
1,24,3777,"4","4",1,"m","employed","Married"
1,12,976,"4","1",2,"m","employed","Married"
1,24,1585,"4","1",2,"m","employed","Married"
1,11,1393,"4","1",2,"f","self-employed","Divorced"
0,12,674,"1","2",1,"m","employed","Single"
0,6,433,"2","4",1,"f","employed","Divorced"
0,36,1953,"2","1",1,"m","self-employed","Married"
1,7,2576,"2","1",1,"m","employed","Married"
1,6,2108,"4","1",1,"m","employed","Single"
0,15,1778,"2","1",2,"f","unemployed","Divorced"
1,36,3919,"3","1",1,"m","employed","Married"
1,10,2241,"1","1",2,"m","unemployed","Married"
1,24,5150,"4","1",1,"m","employed","Married"
1,24,1533,"4","1",1,"f","employed","Divorced"
1,9,458,"2","1",1,"m","employed","Married"
1,12,1935,"4","1",3,"m","employed","Married"
1,18,3049,"3","1",1,"f","unemployed","Divorced"
0,24,1199,"1","1",2,"m","unemployed","Married"
1,6,518,"4","1",1,"f","employed","Divorced"
1,12,1262,"4","1",1,"m","employed","Married"
0,15,1271,"3","1",2,"m","employed","Married"
0,48,5951,"2","1",1,"f","employed","Divorced"
1,24,3617,"3","1",2,"m","employed","Married"
0,36,3804,"2","1",1,"f","employed","Divorced"
1,24,3062,"4","3",1,"m","employed","Married"
1,36,3835,"4","1",1,"f","unemployed","Divorced"
1,15,1514,"2","2",1,"m","employed","Married"
0,9,918,"2","1",1,"f","employed","Divorced"
1,6,590,"2","1",1,"m","unemployed","Single"
0,24,1246,"2","1",1,"m","unemployed","Married"
0,48,4844,"4","1",1,"m","self-employed","Married"
1,12,1103,"2","1",2,"m","employed","Married"
1,24,1603,"1","1",1,"f","employed","Divorced"
0,18,7511,"1","1",1,"m","employed","Married"
1,12,1037,"2","2",1,"m","unemployed","Married"
0,12,6199,"1","1",2,"m","employed","Married"
1,18,3509,"1","1",1,"f","employed","Divorced"
1,24,3972,"4","1",1,"f","employed","Divorced"
1,12,618,"4","1",1,"m","employed","Married"
0,48,4605,"1","1",2,"m","employed","Married"
1,15,1433,"1","1",2,"f","employed","Divorced"
0,16,2625,"1","1",1,"m","employed","Married"
1,24,929,"4","1",1,"m","employed","Married"
1,36,3249,"1","1",1,"m","self-employed","Married"
1,24,3148,"3","1",2,"m","employed","Married"
0,6,448,"1","1",1,"f","employed","Divorced"
1,4,1455,"4","1",3,"m","unemployed","Married"
1,6,338,"1","3",2,"m","employed","Married"
0,9,1980,"4","1",2,"f","employed","Divorced"
0,12,1555,"4","4",2,"m","employed","Married"
1,18,6361,"2","1",1,"m","employed","Married"
0,24,4113,"2","3",1,"f","employed","Divorced"
1,15,3643,"1","1",2,"f","unemployed","Divorced"
1,9,2406,"4","1",1,"m","self-employed","Married"
0,24,6872,"1","1",1,"m","employed","Divorced"
1,24,3863,"4","1",1,"m","employed","Married"
1,21,571,"1","1",2,"m","employed","Married"
1,9,1206,"2","1",1,"f","employed","Divorced"
1,6,1750,"4","3",1,"m","unemployed","Married"
1,12,3331,"4","1",1,"m","employed","Married"
1,7,846,"4","1",1,"m","employed","Married"
1,6,1449,"2","2",2,"m","employed","Divorced"
0,18,2600,"1","1",2,"m","employed","Married"
1,18,629,"4","3",2,"m","self-employed","Married"
1,30,4583,"1","1",2,"m","employed","Divorced"
1,24,2028,"4","1",2,"m","unemployed","Married"
0,36,8065,"1","1",2,"f","self-employed","Divorced"
1,15,1053,"1","1",1,"m","employed","Single"
0,15,3959,"1","1",1,"f","employed","Divorced"
0,48,6999,"1","1",2,"m","employed","Single"
1,36,3711,"2","1",1,"m","employed","Single"
1,24,1393,"4","1",1,"m","employed","Married"
1,60,9157,"2","1",1,"m","self-employed","Married"
0,24,1987,"1","1",1,"m","unemployed","Married"
1,12,717,"4","1",3,"m","employed","Married"
1,24,6967,"2","2",1,"m","self-employed","Married"
0,36,9398,"2","1",1,"m","self-employed","Single"
0,18,1882,"1","1",2,"f","employed","Divorced"
1,6,935,"4","1",1,"f","employed","Divorced"
0,21,1835,"1","1",2,"f","employed","Divorced"
1,6,1169,"1","1",2,"m","employed","Married"
0,9,1136,"2","4",2,"m","employed","Married"
1,18,1126,"4","1",1,"f","employed","Divorced"
1,10,1546,"4","1",1,"m","unemployed","Married"
1,36,6304,"4","1",2,"m","employed","Married"
1,10,2069,"4","1",2,"m","employed","Single"
1,18,1582,"4","4",2,"m","employed","Married"
1,8,1164,"1","1",2,"m","self-employed","Married"
1,36,3990,"2","1",1,"f","unemployed","Divorced"
1,6,426,"4","1",1,"m","unemployed","Single"
0,42,4370,"1","1",2,"m","employed","Married"
1,36,5842,"4","1",2,"m","employed","Married"
1,12,522,"4","3",2,"m","employed","Married"
0,36,2746,"1","1",1,"m","employed","Married"
1,12,1185,"4","1",2,"f","employed","Divorced"
0,12,609,"3","1",1,"f","unemployed","Divorced"
1,6,250,"4","4",2,"f","unemployed","Divorced"
0,18,3190,"1","1",1,"f","employed","Divorced"
1,18,1505,"4","1",1,"m","self-employed","Married"
1,15,3812,"4","2",1,"f","employed","Divorced"
0,12,685,"2","1",1,"m","unemployed","Single"
1,6,1299,"3","1",3,"m","unemployed","Married"
1,48,4788,"1","1",1,"m","employed","Married"
1,22,2675,"4","3",1,"m","employed","Married"
0,18,4153,"1","1",1,"m","employed","Married"
1,10,2315,"1","1",1,"m","unemployed","Married"
0,24,1659,"1","1",1,"f","unemployed","Divorced"
