Y  x
0.79  679
0.44  292
0.56  1012
0.79  493
2.70  582
3.64  1156
4.73  997
9.50  2189
5.34  1097
6.85  2078
5.84  1818
5.21  1700
3.25  747
4.43  2030
3.16  1643
0.50  414
0.17  354
1.88  1276
0.77  745
1.39  435
0.56  540
1.56  874
5.28  1543
0.64  1029
4.00  710
0.31  1434
4.20  837
4.88  1748
3.48  1381
7.58  1428
2.63  1255
4.99  1777
0.59  370
8.19  2316
4.79  1130
0.51  463
1.74  770
4.10  724
3.94  808
0.96  790
3.29  783
0.44  406
3.24  1242
2.14  658
5.71  1746
0.64  468
1.90  1114
0.51  413
8.33  1787
14.94  3560
5.11  1495
3.85  2221
3.93  1526
